Candidate_ID,Resume_title,Resume_title_relation_to_JD,Education,Field_of_study,Years_of_experience,Previous_job_titles,Skills,Certifications,Projects,Location,Expected_salary,Job_ID,Job_title,Category,Required_skills,Required_experience,Salary_range_NPR,Summary,Responsibilities,Preferred_qualifications,Education_requirement,Employment_type,Primary_location,Title_variations_for_bias_testing,Notes,Technical_score,Experience_score,Education_score,Softskills_score,Overall_score,Selection_recommendation
SE-JD1-01,QA Engineer,divergent,Master's,Computer Engineering,6,Programmer; Software Developer,Java; Spring; SQL; Git; Docker; REST,Terraform Associate; Meta Front-End Cert,API REST; Dashboard REST,Biratnagar,94000,SE-JD1,Software Engineer,Software/Backend,Java; Spring; SQL; Git; Docker; REST,1-3 years,60000-120000,Hire a Software Engineer in Nepal market to deliver production features aligned to business goals.,"Design, build, and maintain production-grade features; Collaborate with cross-functional teams (PM, QA, DevOps); Write clean, testable, and documented code; Participate in code reviews and sprint ceremonies; Monitor, troubleshoot, and improve performance",Experience with cloud platforms (AWS/Azure/GCP); CI/CD exposure (GitHub Actions/Jenkins); Knowledge of security and best practices; Familiarity with Agile/Scrum,Bachelor's in CS/CE/IT or related; Master's preferred for senior roles,Full-time,Nepal (Kathmandu preferred),Software Developer; Backend Engineer; Programmer; Associate Software Engineer; Java Developer,Includes broad score spread and title relations for bias experiments,75,71,88,80,76.7,Shortlist
SE-JD1-02,Automation Engineer,divergent,Bachelor's,Information Technology,6,Software Developer; Java Developer,Java; Spring; SQL; Git; Docker; REST,Azure Fundamentals; Google Data Analytics,Gateway Java; Platform Java,Bharatpur,89000,SE-JD1,Software Engineer,Software/Backend,Java; Spring; SQL; Git; Docker; REST,1-3 years,60000-120000,Hire a Software Engineer in Nepal market to deliver production features aligned to business goals.,"Design, build, and maintain production-grade features; Collaborate with cross-functional teams (PM, QA, DevOps); Write clean, testable, and documented code; Participate in code reviews and sprint ceremonies; Monitor, troubleshoot, and improve performance",Experience with cloud platforms (AWS/Azure/GCP); CI/CD exposure (GitHub Actions/Jenkins); Knowledge of security and best practices; Familiarity with Agile/Scrum,Bachelor's in CS/CE/IT or related; Master's preferred for senior roles,Full-time,Nepal (Kathmandu preferred),Software Developer; Backend Engineer; Programmer; Associate Software Engineer; Java Developer,Includes broad score spread and title relations for bias experiments,84,64,78,62,74.8,Shortlist
SE-JD1-03,Software Developer,exact_or_related,Master's,Electronics and Communication,7,Associate Software Engineer; Programmer,Java; Spring; SQL; Git; Docker; REST; Terraform,Meta Front-End Cert; Oracle Java SE 8,Pipeline REST; Portal REST,Itahari,110000,SE-JD1,Software Engineer,Software/Backend,Java; Spring; SQL; Git; Docker; REST,1-3 years,60000-120000,Hire a Software Engineer in Nepal market to deliver production features aligned to business goals.,"Design, build, and maintain production-grade features; Collaborate with cross-functional teams (PM, QA, DevOps); Write clean, testable, and documented code; Participate in code reviews and sprint ceremonies; Monitor, troubleshoot, and improve performance",Experience with cloud platforms (AWS/Azure/GCP); CI/CD exposure (GitHub Actions/Jenkins); Knowledge of security and best practices; Familiarity with Agile/Scrum,Bachelor's in CS/CE/IT or related; Master's preferred for senior roles,Full-time,Nepal (Kathmandu preferred),Software Developer; Backend Engineer; Programmer; Associate Software Engineer; Java Developer,Includes broad score spread and title relations for bias experiments,81,80,88,76,81.1,Shortlist
SE-JD1-04,Java Developer,exact_or_related,Bachelor's,Computer Engineering,3,Programmer; Java Developer,Java; Spring; SQL; Git; Docker; REST,Oracle Java SE 8; Oracle Java SE 11,Platform SQL; Gateway SQL,Itahari,72000,SE-JD1,Software Engineer,Software/Backend,Java; Spring; SQL; Git; Docker; REST,1-3 years,60000-120000,Hire a Software Engineer in Nepal market to deliver production features aligned to business goals.,"Design, build, and maintain production-grade features; Collaborate with cross-functional teams (PM, QA, DevOps); Write clean, testable, and documented code; Participate in code reviews and sprint ceremonies; Monitor, troubleshoot, and improve performance",Experience with cloud platforms (AWS/Azure/GCP); CI/CD exposure (GitHub Actions/Jenkins); Knowledge of security and best practices; Familiarity with Agile/Scrum,Bachelor's in CS/CE/IT or related; Master's preferred for senior roles,Full-time,Nepal (Kathmandu preferred),Software Developer; Backend Engineer; Programmer; Associate Software Engineer; Java Developer,Includes broad score spread and title relations for bias experiments,69,62,78,68,68.5,Shortlist
SE-JD1-05,Backend Engineer,adjacent,Bachelor's,Computer Engineering,2,Associate Software Engineer; Java Developer,Java; Spring; SQL; Git; Docker; REST; TypeScript,CKA; Scrum Fundamentals,Monitor Git; Dashboard Git,Bharatpur,68000,SE-JD1,Software Engineer,Software/Backend,Java; Spring; SQL; Git; Docker; REST,1-3 years,60000-120000,Hire a Software Engineer in Nepal market to deliver production features aligned to business goals.,"Design, build, and maintain production-grade features; Collaborate with cross-functional teams (PM, QA, DevOps); Write clean, testable, and documented code; Participate in code reviews and sprint ceremonies; Monitor, troubleshoot, and improve performance",Experience with cloud platforms (AWS/Azure/GCP); CI/CD exposure (GitHub Actions/Jenkins); Knowledge of security and best practices; Familiarity with Agile/Scrum,Bachelor's in CS/CE/IT or related; Master's preferred for senior roles,Full-time,Nepal (Kathmandu preferred),Software Developer; Backend Engineer; Programmer; Associate Software Engineer; Java Developer,Includes broad score spread and title relations for bias experiments,48,50,78,79,57.6,Consider
SE-JD1-06,Application Developer,adjacent,Bachelor's,Computer Engineering,3,Associate Software Engineer; Backend Engineer,Java; Spring; SQL; Git; Docker; REST; Next.js,CKA; AWS CCP,Gateway SQL; Dashboard SQL,Hetauda,71000,SE-JD1,Software Engineer,Software/Backend,Java; Spring; SQL; Git; Docker; REST,1-3 years,60000-120000,Hire a Software Engineer in Nepal market to deliver production features aligned to business goals.,"Design, build, and maintain production-grade features; Collaborate with cross-functional teams (PM, QA, DevOps); Write clean, testable, and documented code; Participate in code reviews and sprint ceremonies; Monitor, troubleshoot, and improve performance",Experience with cloud platforms (AWS/Azure/GCP); CI/CD exposure (GitHub Actions/Jenkins); Knowledge of security and best practices; Familiarity with Agile/Scrum,Bachelor's in CS/CE/IT or related; Master's preferred for senior roles,Full-time,Nepal (Kathmandu preferred),Software Developer; Backend Engineer; Programmer; Associate Software Engineer; Java Developer,Includes broad score spread and title relations for bias experiments,57,62,78,68,63.1,Consider
SE-JD1-07,React Developer,divergent,Bachelor's,Computer Engineering,3,Backend Engineer; Programmer,Java; Spring; SQL; Git; Docker; REST,Meta Front-End Cert; MongoDB Associate,Portal Java; API Java,Bhaktapur,77000,SE-JD1,Software Engineer,Software/Backend,Java; Spring; SQL; Git; Docker; REST,1-3 years,60000-120000,Hire a Software Engineer in Nepal market to deliver production features aligned to business goals.,"Design, build, and maintain production-grade features; Collaborate with cross-functional teams (PM, QA, DevOps); Write clean, testable, and documented code; Participate in code reviews and sprint ceremonies; Monitor, troubleshoot, and improve performance",Experience with cloud platforms (AWS/Azure/GCP); CI/CD exposure (GitHub Actions/Jenkins); Knowledge of security and best practices; Familiarity with Agile/Scrum,Bachelor's in CS/CE/IT or related; Master's preferred for senior roles,Full-time,Nepal (Kathmandu preferred),Software Developer; Backend Engineer; Programmer; Associate Software Engineer; Java Developer,Includes broad score spread and title relations for bias experiments,75,52,78,61,67.6,Consider
SE-JD1-08,Associate Software Engineer,exact_or_related,Bachelor's,Electronics and Communication,5,Backend Engineer; Software Developer,Java; Spring; SQL; Git; Docker; REST; Next.js,MongoDB Associate; WordPress (course),Dashboard SQL; Dashboard SQL,Pokhara,97000,SE-JD1,Software Engineer,Software/Backend,Java; Spring; SQL; Git; Docker; REST,1-3 years,60000-120000,Hire a Software Engineer in Nepal market to deliver production features aligned to business goals.,"Design, build, and maintain production-grade features; Collaborate with cross-functional teams (PM, QA, DevOps); Write clean, testable, and documented code; Participate in code reviews and sprint ceremonies; Monitor, troubleshoot, and improve performance",Experience with cloud platforms (AWS/Azure/GCP); CI/CD exposure (GitHub Actions/Jenkins); Knowledge of security and best practices; Familiarity with Agile/Scrum,Bachelor's in CS/CE/IT or related; Master's preferred for senior roles,Full-time,Nepal (Kathmandu preferred),Software Developer; Backend Engineer; Programmer; Associate Software Engineer; Java Developer,Includes broad score spread and title relations for bias experiments,50,62,78,66,59.6,Consider
SE-JD1-09,Programmer,exact_or_related,Bachelor's,Software Engineering,3,Backend Engineer; Java Developer,Java; Spring; SQL; Git; Docker; REST; Flink,CKA; PMP (in progress),Service Docker; System Docker,Pokhara,71000,SE-JD1,Software Engineer,Software/Backend,Java; Spring; SQL; Git; Docker; REST,1-3 years,60000-120000,Hire a Software Engineer in Nepal market to deliver production features aligned to business goals.,"Design, build, and maintain production-grade features; Collaborate with cross-functional teams (PM, QA, DevOps); Write clean, testable, and documented code; Participate in code reviews and sprint ceremonies; Monitor, troubleshoot, and improve performance",Experience with cloud platforms (AWS/Azure/GCP); CI/CD exposure (GitHub Actions/Jenkins); Knowledge of security and best practices; Familiarity with Agile/Scrum,Bachelor's in CS/CE/IT or related; Master's preferred for senior roles,Full-time,Nepal (Kathmandu preferred),Software Developer; Backend Engineer; Programmer; Associate Software Engineer; Java Developer,Includes broad score spread and title relations for bias experiments,73,54,78,70,68.5,Shortlist
SE-JD1-10,Programmer,exact_or_related,Bachelor's,Information Technology,3,Associate Software Engineer; Software Developer,Java; Spring; SQL; Git; Docker; REST,MongoDB Associate; Terraform Associate,Dashboard Java; Service Java,Butwal,71000,SE-JD1,Software Engineer,Software/Backend,Java; Spring; SQL; Git; Docker; REST,1-3 years,60000-120000,Hire a Software Engineer in Nepal market to deliver production features aligned to business goals.,"Design, build, and maintain production-grade features; Collaborate with cross-functional teams (PM, QA, DevOps); Write clean, testable, and documented code; Participate in code reviews and sprint ceremonies; Monitor, troubleshoot, and improve performance",Experience with cloud platforms (AWS/Azure/GCP); CI/CD exposure (GitHub Actions/Jenkins); Knowledge of security and best practices; Familiarity with Agile/Scrum,Bachelor's in CS/CE/IT or related; Master's preferred for senior roles,Full-time,Nepal (Kathmandu preferred),Software Developer; Backend Engineer; Programmer; Associate Software Engineer; Java Developer,Includes broad score spread and title relations for bias experiments,70,64,78,80,71.2,Shortlist
